Date,Currency,Exchange,Sql Date Format
01-01-2015,USD,1,01-01-2015
01-01-2015,CAD,1.1583,01-01-2015
01-01-2015,AUD,1.2214,01-01-2015
01-01-2015,EUR,0.8237,01-01-2015
01-01-2015,GBP,0.6415,01-01-2015
01-02-2015,USD,1,01-02-2015
01-02-2015,CAD,1.1682,01-02-2015
01-02-2015,AUD,1.2323,01-02-2015
01-02-2015,EUR,0.8304,01-02-2015
01-02-2015,GBP,0.6477,01-02-2015
01-03-2015,USD,1,01-03-2015
01-03-2015,CAD,1.1682,01-03-2015
01-03-2015,AUD,1.2323,01-03-2015
01-03-2015,EUR,0.8304,01-03-2015
01-03-2015,GBP,0.6477,01-03-2015
01-04-2015,USD,1,01-04-2015
01-04-2015,CAD,1.1682,01-04-2015
01-04-2015,AUD,1.2323,01-04-2015
01-04-2015,EUR,0.8304,01-04-2015
01-04-2015,GBP,0.6477,01-04-2015
01-05-2015,USD,1,01-05-2015
01-05-2015,CAD,1.1784,01-05-2015
01-05-2015,AUD,1.2384,01-05-2015
01-05-2015,EUR,0.8393,01-05-2015
01-05-2015,GBP,0.6569,01-05-2015
01-06-2015,USD,1,01-06-2015
01-06-2015,CAD,1.1763,01-06-2015
01-06-2015,AUD,1.2288,01-06-2015
01-06-2015,EUR,0.8393,01-06-2015
01-06-2015,GBP,0.6582,01-06-2015
01-07-2015,USD,1,01-07-2015
01-07-2015,CAD,1.183,01-07-2015
01-07-2015,AUD,1.2391,01-07-2015
01-07-2015,EUR,0.8452,01-07-2015
01-07-2015,GBP,0.6612,01-07-2015
01-08-2015,USD,1,01-08-2015
01-08-2015,CAD,1.1816,01-08-2015
01-08-2015,AUD,1.2337,01-08-2015
01-08-2015,EUR,0.8498,01-08-2015
01-08-2015,GBP,0.6637,01-08-2015
01-09-2015,USD,1,01-09-2015
01-09-2015,CAD,1.182,01-09-2015
01-09-2015,AUD,1.228,01-09-2015
01-09-2015,EUR,0.8465,01-09-2015
01-09-2015,GBP,0.6602,01-09-2015
01-10-2015,USD,1,01-10-2015
01-10-2015,CAD,1.182,01-10-2015
01-10-2015,AUD,1.228,01-10-2015
01-10-2015,EUR,0.8465,01-10-2015
01-10-2015,GBP,0.6602,01-10-2015
01-11-2015,USD,1,01-11-2015
01-11-2015,CAD,1.182,01-11-2015
01-11-2015,AUD,1.228,01-11-2015
01-11-2015,EUR,0.8465,01-11-2015
01-11-2015,GBP,0.6602,01-11-2015
01-12-2015,USD,1,01-12-2015
01-12-2015,CAD,1.1897,01-12-2015
01-12-2015,AUD,1.2282,01-12-2015
